date,open,high,low,close,adj_close,volume,vwap,obv
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,
2025-03-28,1590.0,1598.449951171875,1560.0,1570.6500244140625,1548.857421875,6799047,1576.3666585286458,0.0
2025-04-01,1539.25,1547.4000244140625,1517.8499755859375,1526.5,1505.3199462890625,12680733,1546.5631328905774,-12680733.0
2025-04-02,1535.199951171875,1555.6500244140625,1535.199951171875,1550.1500244140625,1528.641845703125,6193478,1546.668523754142,-6487255.0
2025-04-03,1534.6500244140625,1534.6500244140625,1485.050048828125,1496.5,1475.7362060546875,10459504,1534.7223560650637,-16946759.0
2025-04-04,1460.5,1472.0,1448.0,1451.6500244140625,1431.508544921875,9590254,1518.4657913246701,-26537013.0
2025-04-07,1352.0,1405.9000244140625,1307.0,1396.75,1377.3702392578125,21715252,1470.6219567033227,-48252265.0
2025-04-08,1431.0,1456.5,1415.0,1428.800048828125,1408.9755859375,12805001,1464.6875006802684,-35447264.0
2025-04-09,1405.050048828125,1409.449951171875,1381.9000244140625,1403.699951171875,1384.2237548828125,8546854,1458.3019127055497,-43994118.0
2025-04-11,1411.25,1438.800048828125,1397.050048828125,1409.449951171875,1389.89404296875,12567440,1452.9452602250235,-31426678.0
2025-04-15,1445.5999755859375,1447.699951171875,1409.0,1426.0,1406.21435546875,10178530,1450.6292660512117,-21248148.0
2025-04-16,1425.0,1427.5,1396.800048828125,1413.0999755859375,1393.493408203125,12022740,1446.9159021326384,-33270888.0
2025-04-17,1398.0,1429.800048828125,1378.300048828125,1419.5,1399.8045654296875,14264227,1443.0124354326579,-19006661.0
2025-04-21,1410.0,1471.800048828125,1410.0,1451.0,1430.8675537109375,15648970,1443.1403263692498,-3357691.0
2025-04-22,1440.0,1440.0,1419.300048828125,1422.800048828125,1403.058837890625,9399738,1442.2299908068312,-12757429.0
2025-04-23,1446.0,1487.800048828125,1439.5999755859375,1474.9000244140625,1454.4359130859375,11136642,1443.8430207987808,-1620787.0
2025-04-24,1469.9000244140625,1482.9000244140625,1461.5,1471.4000244140625,1450.9844970703125,7114292,1444.946376696898,-8735079.0
2025-04-25,1475.5,1501.699951171875,1463.5,1480.199951171875,1459.662353515625,8329979,1446.566779403316,-405100.0
2025-04-28,1480.199951171875,1489.5999755859375,1465.300048828125,1482.0999755859375,1461.5360107421875,5886253,1447.5441070569873,5481153.0
2025-04-29,1482.0,1509.800048828125,1474.0999755859375,1497.5,1476.722412109375,8056743,1449.376357932424,13537896.0
2025-04-30,1496.800048828125,1508.800048828125,1482.5999755859375,1500.0999755859375,1479.2862548828125,7704183,1451.1204864416286,21242079.0
2025-05-02,1499.699951171875,1523.199951171875,1496.199951171875,1506.9000244140625,1485.991943359375,7402310,1453.0733948068917,28644389.0
2025-05-05,1515.0,1523.0,1502.800048828125,1508.5999755859375,1487.6683349609375,4282493,1454.1958635148817,32926882.0
