date,open,high,low,close,adj_close,volume,vwap,obv,rsi_14_day,rsi_30_day,stochastic_k_percent,stochastic_d_percent,williams_r_14_day,macd_line,macd_histogram,macd_signal_line,bollinger_lower_band,bollinger_middle_band,bollinger_upper_band,moving_avg_5_day,moving_avg_20_day,moving_avg_50_day,exponential_moving_avg_12_day,exponential_moving_avg_26_day,commodity_channel_index_20_day
2025-06-13,1424.0,1435.5,1414.300048828125,1427.9000244140625,1427.9000244140625,9757276.0,1356.4719458395373,128652669.0,54.07746019295652,58.77998177299957,60.091368792808225,68.2079088599294,-55.75335776969178,20.25980382052603,-5.203927738553272,25.463731559079303,1402.904924840501,1428.6800109863282,1454.4550971321553,1441.1400146484375,1428.6800109863282,1366.9689990234374,1433.3942193109353,1413.1344154904093,-18.485169866135262
2025-06-16,1426.9000244140625,1442.4000244140625,1424.4000244140625,1437.800048828125,1437.800048828125,8458093.0,1357.525726390508,137110762.0,56.89635045534479,60.011772925489936,55.02288679009703,61.18617490916386,-42.191680490154106,19.110539795305613,-5.082553411018953,24.193093206324566,1403.0051011840455,1428.530010986328,1454.0549207886106,1438.9400146484375,1428.530010986328,1370.6730004882813,1434.0720392366568,1414.9614994413512,35.209397092151924
2025-06-17,1448.0,1448.0,1425.800048828125,1431.199951171875,1431.199951171875,10366599.0,1358.7814319278418,126744163.0,54.49472374692816,58.79993893800999,50.2740171946347,55.129424259179984,-51.23291015625,17.465831816696436,-5.3818091117025055,22.847640928398942,1403.3762481887595,1428.860009765625,1454.3437713424903,1437.4800048828124,1428.860009765625,1374.2739990234375,1433.6301795343827,1416.1643477176863,33.937865895267464
2025-06-18,1430.0,1442.800048828125,1425.699951171875,1430.0999755859375,1430.0999755859375,6681735.0,1359.547383664685,120062428.0,54.08497737671856,58.5959389552762,51.27856110873288,52.191821697821545,-52.73972602739726,15.890454785954034,-5.565748913955929,21.456203699909963,1403.4158290715973,1428.905010986328,1454.394192901059,1433.7199951171874,1428.905010986328,1377.9019995117187,1433.0870712346218,1417.1966164486678,20.229882862973465
2025-06-19,1430.0999755859375,1439.9000244140625,1425.699951171875,1433.300048828125,1433.300048828125,10007230.0,1360.6669023746438,130069658.0,55.14170955913065,59.02378276066112,49.22376658818494,50.25878163051751,-48.356064051797944,14.73037372664703,-5.380663978610347,20.111037705257377,1406.1884950175759,1430.1000122070313,1454.0115293964868,1432.060009765625,1430.1000122070313,1382.4740014648437,1433.1198370182376,1418.3894632915906,15.541337139088803
2025-06-20,1431.0,1471.0,1428.0999755859375,1466.199951171875,1466.199951171875,29010635.0,1364.6645376487954,159080293.0,64.25114799371414,63.08118452568117,63.934514469811575,54.81228072224314,-7.100666511370058,16.278104437214097,-3.066346614434625,19.344451051648722,1403.5270520068846,1432.0700073242188,1460.612962641553,1439.7199951171874,1432.0700073242188,1388.4840014648437,1438.2090853495665,1421.9309809123524,133.1254434044901
2025-06-23,1453.0,1463.800048828125,1442.0,1456.800048828125,1456.800048828125,5989078.0,1365.440245223489,153091215.0,60.47263274431015,61.28752413728739,74.22117926777624,62.45982010859092,-21.879731633503308,16.555358744997648,-2.2312738453208603,18.786632590318508,1402.6628825255473,1433.1700073242187,1463.67713212289,1443.5199951171876,1433.1700073242187,1393.9760034179687,1441.069233577037,1424.5138748320394,113.63710017601166
2025-06-24,1465.0,1475.0,1443.0999755859375,1450.800048828125,1450.800048828125,16402744.0,1367.546187148477,136688471.0,58.1229952371734,60.15802701888842,77.05048198095216,71.73539190617998,-39.86815591227019,16.105283245454984,-2.145079475890821,18.250362721345805,1403.6194938276742,1434.6050109863281,1465.590528144982,1447.4400146484375,1434.6050109863281,1399.2850048828125,1442.5662820772045,1426.4609988317495,111.25386729804067
2025-06-25,1464.0,1472.4000244140625,1460.5,1467.300048828125,1467.300048828125,7525851.0,1368.5898862648385,144214322.0,62.44448143217238,62.142828881251766,75.18894832172556,75.48686985681799,-12.685267489049867,16.885363315665472,-1.091999524544267,17.97736284020974,1404.9200672371412,1437.3250122070312,1469.7299571769213,1454.880029296875,1437.3250122070312,1404.2520068359374,1446.3714769619614,1429.486113646296,145.13572253335937
2025-06-26,1469.0999755859375,1498.800048828125,1465.0999755859375,1495.300048828125,1495.300048828125,14657893.0,1370.955848313197,158872215.0,68.40327522109875,65.18729687456047,81.10152158812015,77.78031729693261,-4.142011834319526,19.537729600694547,1.2482934083878447,18.289436192306702,1401.3754708568094,1441.2000122070312,1481.024553557253,1467.280029296875,1441.2000122070312,1409.3560083007812,1453.8989495567557,1434.3612199560612,207.99150367216933
2025-06-27,1499.4000244140625,1515.800048828125,1496.9000244140625,1514.0,1514.0,4663328.0,1371.8316119477583,163535543.0,71.63968007309882,67.01971011481542,93.79975785177506,83.36340925387358,-1.773447121305416,22.88487616135785,3.6763519752409195,19.208524186116932,1396.0868707471461,1445.8550109863281,1495.6231512255101,1476.8400390625,1445.8550109863281,1414.8500073242187,1463.1452650095625,1440.2603888482047,249.5918796069473
