date,vix_close
2025-04-01,21.770000457763672
2025-04-02,21.510000228881836
2025-04-03,30.020000457763672
2025-04-04,45.310001373291016
2025-04-07,46.97999954223633
2025-04-08,52.33000183105469
2025-04-09,33.619998931884766
2025-04-10,40.720001220703125
2025-04-11,37.560001373291016
2025-04-14,30.889999389648438
2025-04-15,30.1200008392334
2025-04-16,32.63999938964844
2025-04-17,29.649999618530273
2025-04-21,33.81999969482422
2025-04-22,30.56999969482422
2025-04-23,28.450000762939453
2025-04-24,26.469999313354492
2025-04-25,24.84000015258789
2025-04-28,25.149999618530273
2025-04-29,24.170000076293945
2025-04-30,24.700000762939453
2025-05-01,24.600000381469727
2025-05-02,22.68000030517578
2025-05-05,23.639999389648438
2025-05-06,24.760000228881836
2025-05-07,23.549999237060547
2025-05-08,22.479999542236328
2025-05-09,21.899999618530273
2025-05-12,18.389999389648438
2025-05-13,18.219999313354492
2025-05-14,18.6200008392334
2025-05-15,17.829999923706055
2025-05-16,17.239999771118164
2025-05-19,18.139999389648438
2025-05-20,18.09000015258789
2025-05-21,20.8700008392334
2025-05-22,20.280000686645508
2025-05-23,22.290000915527344
2025-05-27,18.959999084472656
2025-05-28,19.309999465942383
2025-05-29,19.18000030517578
2025-05-30,18.56999969482422
2025-06-02,18.360000610351562
2025-06-03,17.690000534057617
2025-06-04,17.610000610351562
2025-06-05,18.479999542236328
2025-06-06,16.770000457763672
2025-06-09,17.15999984741211
2025-06-10,16.950000762939453
2025-06-11,17.260000228881836
2025-06-12,18.020000457763672
2025-06-13,20.81999969482422
2025-06-16,19.110000610351562
2025-06-17,21.600000381469727
2025-06-18,20.139999389648438
2025-06-20,20.6200008392334
2025-06-23,19.829999923706055
2025-06-24,17.479999542236328
2025-06-25,16.760000228881836
2025-06-26,16.59000015258789
